# T9      λnpFull/λnpBorn   
0.008000000000000004      1
0.008027565158254101      1
0.008055225296251887      1
0.008082980741259837      1
0.008110831821672035      1
0.00813877886701413      1
0.008166822207947174      1
0.00819496217627156      1
0.008223199104930969      1
0.008251533328016265      1
0.008279965180769474      1
0.008308494999587765      1
0.008337123122027383      1
0.008365849886807707      1
0.008394675633815192      1
0.008423600704107425      1
0.008452625439917181      1
0.008481750184656413      1
0.008510975282920386      1
0.008540301080491688      1
0.008569727924344354      1
0.008599256162647994      1
0.00862888614477185      1
0.008658618221289003      1
0.008688452743980458      1
0.008718390065839333      1
0.008748430541075061      1
0.008778574525117525      1
0.008808822374621298      1
0.008839174447469882      1
0.008869631102779885      1
0.008900192700905333      1
0.008930859603441886      1
0.008961632173231128      1
0.008992510774364894      1
0.009023495772189517      1
0.009054587533310215      1
0.009085786425595375      1
0.009117092818180924      1
0.009148507081474732      1
0.00918002958716092      1
0.009211660708204344      1
0.009243400818854932      1
0.009275250294652147      1
0.009307209512429453      1
0.009339278850318725      1
0.009371458687754738      1
0.0094037494054797      1
0.00943615138554768      1
0.009468665011329213      1
0.009501290667515754      1
0.009534028740124276      1
0.009566879616501855      1
0.009599843685330194      1
0.009632921336630284      1
0.009666112961766971      1
0.009699418953453597      1
0.009732839705756691      1
0.00976637561410056      1
0.009800027075272005      1
0.009833794487425045      1
0.009867678250085552      1
0.009901678764156069      1
0.009935796431920468      1
0.009970031657048758      1
0.010004384844601871      1
0.01003885640103641      1
0.010073446734209497      1
0.01010815625338358      1
0.010142985369231283      1
0.010177934493840265      1
0.01021300404071808      1
0.01024819442479709      1
0.010283506062439373      1
0.010318939371441637      1
0.010354494771040161      1
0.010390172681915773      1
0.01042597352619882      1
0.010461897727474159      1
0.010497945710786154      1
0.010534117902643744      1
0.01057041473102545      1
0.010606836625384464      1
0.010643384016653726      1
0.010680057337250994      1
0.01071685702108401      1
0.010753783503555594      1
0.010790837221568815      1
0.010828018613532159      1
0.010865328119364696      1
0.010902766180501313      1
